"Severity","Type","Rule","Message","File","Line","Status","Effort","CreatedDate","CleanCodeAttribute","Impact"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","apps/web/src/components/admin/DashboardMetrics.tsx","124","OPEN","6min","2026-01-07T10:45:06+0530","FOCUSED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/components/admin/DashboardMetrics.tsx","275","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6479","Do not use Array index in keys","apps/web/src/components/admin/DashboardMetrics.tsx","295","OPEN","5min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S3863","'C:\Users\ranab\Downloads\Atal-ai-1.0\apps\web\node_modules\react\index.js' imported multiple times.","apps/web/src/components/admin/RoleGuard.tsx","3","OPEN","1min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S3863","'C:\Users\ranab\Downloads\Atal-ai-1.0\apps\web\node_modules\react\index.js' imported multiple times.","apps/web/src/components/admin/RoleGuard.tsx","4","OPEN","1min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isAdminClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","8","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isSuperAdminClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","9","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isTeacherOrHigherClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","10","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isSuperAdminClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","66","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isAdminClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","69","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isTeacherOrHigherClient' is deprecated.","apps/web/src/components/admin/RoleGuard.tsx","72","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7773","Prefer `Number.parseInt` over `parseInt`.","apps/web/src/components/assessment/AssessmentRunner.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/assessment/AssessmentRunner.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S1854","Remove this useless assignment to variable ""totalElapsedSeconds"".","apps/web/src/components/assessment/AssessmentRunner.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'calculateIRTScore'.","apps/web/src/components/assessment/AssessmentRunner.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7755","Prefer `.at(â¦)` over `[â¦.length - index]`.","apps/web/src/components/assessment/AssessmentRunner.tsx","391","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/assessment/CategoryBreakdown.tsx","42","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/assessment/LevelBadge.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/assessment/LevelBadge.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/assessment/LevelBadge.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6819","Use <nav> instead of the ""navigation"" role to ensure accessibility across all devices.","apps/web/src/components/assessment/QuestionPagination.tsx","105","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'validateAndHandleError'.","apps/web/src/components/auth/EmailOTPForm.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/OTPInput.tsx","61","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/PhoneInputWithPrefix.tsx","62","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'Label'.","apps/web/src/components/auth/PhoneOTPForm.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'validatePassword'.","apps/web/src/components/auth/StudentStepComponents.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'UsePhoneInputReturn'.","apps/web/src/components/auth/StudentStepComponents.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'UseOTPInputReturn'.","apps/web/src/components/auth/StudentStepComponents.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6767","'loading' PropType is defined but prop is never used","apps/web/src/components/auth/StudentStepComponents.tsx","13","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6767","'state' PropType is defined but prop is never used","apps/web/src/components/auth/StudentStepComponents.tsx","15","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/TeacherStepComponents.tsx","651","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/TeacherStepComponents.tsx","766","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/TeacherStepComponents.tsx","813","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/auth/TeacherStepComponents.tsx","986","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/offline/LessonPreCacher.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/offline/LessonPreCacher.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/offline/LessonPreCacher.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/offline/LessonPreCacher.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/offline/LessonPreCacher.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/components/providers/theme-provider.tsx","6","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/StudentProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/StudentProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/StudentProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/components/settings/StudentProfileEditor.tsx","80","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/TeacherProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/TeacherProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/components/settings/TeacherProfileEditor.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/components/settings/TeacherProfileEditor.tsx","77","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/student/GuestJoinForm.tsx","53","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/teacher/AIInteractionsLog.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/teacher/AIInteractionsLog.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7750","Prefer `.find(â¦)` over `.filter(â¦)`.","apps/web/src/components/teacher/AIInteractionsLog.tsx","257","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'CardTitle'.","apps/web/src/components/teacher/AnalyticsTiles.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/teacher/StudentProgressGrid.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/teacher/onboarding/TeacherProfileForm.tsx","87","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/teacher/onboarding/TeacherSchoolVerificationForm.tsx","61","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S4123","Unexpected `await` of a non-Promise (non-""Thenable"") value.","apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx","104","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx","203","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/teacher/onboarding/TeacherSignupPhoneFlow.tsx","73","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/components/teacher/onboarding/TeacherSignupPhoneFlow.tsx","130","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'ElementRef' is deprecated.","apps/web/src/components/ui/dialog.tsx","15","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'ElementRef' is deprecated.","apps/web/src/components/ui/dialog.tsx","30","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'ElementRef' is deprecated.","apps/web/src/components/ui/dialog.tsx","82","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'ElementRef' is deprecated.","apps/web/src/components/ui/dialog.tsx","97","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6478","Move this component definition out of the parent component and pass data as props.","apps/web/src/components/ui/markdown-renderer.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MAJOR","BUG","typescript:S5256","Add a valid header row or column to this ""<table>"".","apps/web/src/components/ui/markdown-renderer.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","COMPLETE","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","40","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","46","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","52","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","58","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","64","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6850","Headings must have content and the content must be accessible by a screen reader.","apps/web/src/components/ui/markdown-renderer.tsx","70","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/components/voice/VoiceChat.tsx","101","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/voice/VoiceChat.tsx","272","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/hooks/useAuthState.ts","79","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/hooks/useAuthState.ts","84","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/hooks/usePhoneInput.ts","39","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/hooks/useTeacherOnboarding.ts","852","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/lib/ai-service.ts","46","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6594","Use the ""RegExp.exec()"" method instead.","apps/web/src/lib/ai-service.ts","265","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6594","Use the ""RegExp.exec()"" method instead.","apps/web/src/lib/ai-service.ts","266","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6594","Use the ""RegExp.exec()"" method instead.","apps/web/src/lib/ai-service.ts","327","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6594","Use the ""RegExp.exec()"" method instead.","apps/web/src/lib/ai-service.ts","328","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/lib/ai/services/tutor-service.ts","68","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/lib/ai/services/tutor-service.ts","322","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7763","Use `exportâ¦from` to re-export `BaseSignInResult`.","apps/web/src/lib/auth-handlers.ts","38","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/code-validation.ts","51","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/code-validation.ts","74","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/code-validation.ts","107","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/code-validation.ts","114","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7723","Use `new Array()` instead of `Array()`.","apps/web/src/lib/email-validation.ts","54","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7755","Prefer `.at(â¦)` over `[â¦.length - index]`.","apps/web/src/lib/email-validation.ts","123","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6660","'If' statement should not be the only statement in 'else' block","apps/web/src/lib/offline/sync-queue.ts",,"CLOSED","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","apps/web/src/lib/offline/sync-queue.ts",,"CLOSED","6min","2026-01-07T10:45:06+0530","FOCUSED","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","apps/web/src/lib/offline/sync-queue.ts",,"CLOSED","6min","2026-01-07T10:45:06+0530","FOCUSED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6660","'If' statement should not be the only statement in 'else' block","apps/web/src/lib/offline/sync-queue.ts","209","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6353","Use concise character class syntax '\d' instead of '[0-9]'.","apps/web/src/lib/password-utils.ts","252","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/phone-validation.ts","23","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/phone-validation.ts","54","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/phone-validation.ts","123","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/lib/phone-validation.ts","162","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'config' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'store' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'config' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'fallbackLimiter' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'limiters' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'redisClient' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'prefix' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'redisClient' is never reassigned; mark it as `readonly`.","apps/web/src/lib/rate-limiter-distributed.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","326","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","402","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","420","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","440","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","456","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/lib/rate-limiter-distributed.ts","475","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S1854","Remove this useless assignment to variable ""error"".","apps/web/src/lib/services/gamification-service.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.","apps/web/src/lib/services/gamification-service.ts",,"CLOSED","18min","2026-01-07T10:45:06+0530","FOCUSED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'options' is never reassigned; mark it as `readonly`.","apps/web/src/lib/supabase-pagination.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'supabase' is never reassigned; mark it as `readonly`.","apps/web/src/lib/supabase-pagination.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S1854","Remove this useless assignment to variable ""hasMore"".","apps/web/src/lib/supabase-pagination.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2933","Member 'table' is never reassigned; mark it as `readonly`.","apps/web/src/lib/supabase-pagination.ts",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.","apps/web/src/lib/supabase-pagination.ts",,"CLOSED","8min","2026-01-07T10:45:06+0530","FOCUSED","MAINTAINABILITY"
