Issue ID,Rule,Severity,Type,File,Line,Message,Status,Effort,Quality Impact,Quick Fix Available
fb4935f5-ae3b-4378-8780-7be58dd0f143,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/offline/LessonPreCacher.tsx,111,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
b2602d20-222b-463e-8122-fb56f86f6bfe,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/offline/LessonPreCacher.tsx,176,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
c20d1226-744d-492c-83f6-0b6a1d801bb1,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/offline/LessonPreCacher.tsx,181,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
268d24ed-42b4-4357-91a5-8b59abd3fa7f,typescript:S6759,MINOR,CODE_SMELL,apps/web/src/components/providers/theme-provider.tsx,6,"Mark the props of the component as read-only.",OPEN,5min,MAINTAINABILITY,Yes
f2803cad-40b7-4436-9a6d-cb4ddd0393e4,typescript:S4325,MINOR,CODE_SMELL,apps/web/src/components/settings/StudentProfileEditor.tsx,80,"This assertion is unnecessary since it does not change the type of the expression.",OPEN,1min,MAINTAINABILITY,Yes
74ddde5d-1cdb-408a-8080-fc08c1551a37,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/StudentProfileEditor.tsx,219,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
608aa2ee-b6f5-490a-b581-4f125a44ff83,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/StudentProfileEditor.tsx,262,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
e258c812-37cc-4276-a8b5-af3d2ae1c5df,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/StudentProfileEditor.tsx,271,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
ce1f5a01-ed07-4e48-ab78-201461a61c7c,typescript:S4325,MINOR,CODE_SMELL,apps/web/src/components/settings/TeacherProfileEditor.tsx,77,"This assertion is unnecessary since it does not change the type of the expression.",OPEN,1min,MAINTAINABILITY,Yes
10b7d76c-9a75-4ef7-8515-4e6abb5d2d2e,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/TeacherProfileEditor.tsx,201,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
cd02630f-4ed6-4ee6-8f40-c5fcdba95720,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/TeacherProfileEditor.tsx,246,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
5983ca66-8261-4d66-ac4b-d48d02cd6d35,typescript:S6853,MAJOR,CODE_SMELL,apps/web/src/components/settings/TeacherProfileEditor.tsx,318,"A form label must be associated with a control.",OPEN,5min,RELIABILITY,No
26cc7ecd-e952-466d-9465-c87fe26fa890,typescript:S7735,MINOR,CODE_SMELL,apps/web/src/components/student/GuestJoinForm.tsx,53,"Unexpected negated condition.",OPEN,2min,MAINTAINABILITY,Yes
386dd078-d73e-4ade-85c3-99b46c03057c,typescript:S7750,MINOR,CODE_SMELL,apps/web/src/components/teacher/AIInteractionsLog.tsx,227,"Prefer `.find(â€¦)` over `.filter(â€¦)`.",OPEN,5min,MAINTAINABILITY,No
48c7371b-fb39-4a1e-9972-4f8d1e68b8d9,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/teacher/AIInteractionsLog.tsx,285,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
24b04cfd-89a6-4865-9a1c-a092afb39641,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/teacher/AIInteractionsLog.tsx,294,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
b99ed8fd-2b7e-441a-b577-99bb384a9e4f,typescript:S1128,MINOR,CODE_SMELL,apps/web/src/components/teacher/AnalyticsTiles.tsx,,"Remove this unused import of 'CardTitle'.",CLOSED,1min,MAINTAINABILITY,Yes
1184e3e0-3c0f-45cd-b6dd-2175fb3c7951,typescript:S3358,MAJOR,CODE_SMELL,apps/web/src/components/teacher/StudentProgressGrid.tsx,272,"Extract this nested ternary operation into an independent statement.",OPEN,5min,MAINTAINABILITY,No
20a0fa49-9caf-4b90-9c60-d7fc56d8f492,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherProfileForm.tsx,87,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
5f6243cc-89e7-42be-b62b-27ede550ca9b,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherSchoolVerificationForm.tsx,61,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
c5c5ab69-8936-441e-9b1c-d04a489fe3c1,typescript:S4123,CRITICAL,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx,81,"Unexpected `await` of a non-Promise (non-""Thenable"") value.",OPEN,1min,MAINTAINABILITY,Yes
32dfd789-5a73-421c-bbe2-589471831fee,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx,180,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
0e470eb9-5f59-460f-afac-22d390442e09,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherSignupPhoneFlow.tsx,73,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
94466b08-8c36-46da-a340-69eecac5c4bb,typescript:S7781,MINOR,CODE_SMELL,apps/web/src/components/teacher/onboarding/TeacherSignupPhoneFlow.tsx,130,"Prefer `String#replaceAll()` over `String#replace()`.",OPEN,5min,MAINTAINABILITY,Yes
407a6c94-4258-401e-92a3-ee92637b2936,typescript:S1874,MINOR,CODE_SMELL,apps/web/src/components/ui/dialog.tsx,15,"'ElementRef' is deprecated.",OPEN,15min,MAINTAINABILITY,No
