"Issue ID","Rule","Severity","Type","File","Line","Message","Status","Effort","Quality Impact","Quick Fix Available"
"f389b627-965b-4462-80da-f3d95a180de8","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/assessment/QuestionNavigation.tsx","67","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"8d4c0ac2-122d-4427-ae12-703cd81f6266","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/assessment/QuestionNavigation.tsx","130","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"c0cbab02-942f-49ae-ba37-a8639ff877a8","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/assessment/ResultCircle.tsx","94","Use <img alt=...>, or <img alt=...> instead of the ""img"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"74cd64f6-6539-49b9-84f5-cec8da4bf209","typescript:S6759","MINOR","CODE_SMELL","apps/web/src/components/assessment/ResultCircle.tsx","149","Mark the props of the component as read-only.","OPEN","5min","MAINTAINABILITY","Yes"
"e1688b53-8377-467b-9eff-a32e2fba30ca","typescript:S4144","MAJOR","CODE_SMELL","apps/web/src/components/assessment/ResultCircle.tsx","158","Update this function so that its implementation is not identical to the one on line 51.","OPEN","15min","MAINTAINABILITY","No"
"5d42b38a-bf77-4acb-92fe-6750b70a28da","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/assessment/ResultCircle.tsx","166","Use <img alt=...>, or <img alt=...> instead of the ""img"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"c6f5c887-31d7-4639-bf72-273c01f6d136","typescript:S6747","MAJOR","CODE_SMELL","apps/web/src/components/auth/AuthCard.tsx","72","Unknown property 'jsx' found","OPEN","5min","MAINTAINABILITY","No"
"23ad824e-72f3-4a7b-b703-aabc0369758f","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/auth/EmailInput.tsx","54","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"fcd49925-b315-4300-b0ac-79b1abd02888","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/auth/PasswordInput.tsx","106","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
"6a8101a6-bae2-4397-b81f-233824e4401e","typescript:S7735","MINOR","CODE_SMELL","apps/web/src/components/form/FormError.tsx","74","Unexpected negated condition.","OPEN","2min","MAINTAINABILITY","Yes"
"720d2c80-3d9f-47c4-97e2-732c140ffc6f","typescript:S6819","MAJOR","CODE_SMELL","apps/web/src/components/gamification/BadgesDisplay.tsx","256","Use <dialog> instead of the ""dialog"" role to ensure accessibility across all devices.","OPEN","5min","MAINTAINABILITY","No"
"b9b7a841-1aad-41d1-8b95-4d9c940a3a99","typescript:S6847","MAJOR","CODE_SMELL","apps/web/src/components/gamification/BadgesDisplay.tsx","256","Non-interactive elements should not be assigned mouse or keyboard event listeners.","OPEN","5min","MAINTAINABILITY","No"
"f27f3aba-cef7-4206-9f0f-e4b7381d8ecf","typescript:S4043","MAJOR","CODE_SMELL","apps/web/src/components/learn/AdaptiveRecommendations.tsx","163","Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".","OPEN","5min","MAINTAINABILITY","Yes"
"5521f7fe-9ad7-46ed-a07f-d3befff614ec","typescript:S3358","MAJOR","CODE_SMELL","apps/web/src/components/offline/LessonPreCacher.tsx","113","Extract this nested ternary operation into an independent statement.","OPEN","5min","MAINTAINABILITY","No"
